OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
4379;No;SMB Small;Unassigned_SE;Vellinge;Skåne;Dustin Sweden;1,8;19602;1;No;249;0,465100402;295;9999;1;No
4380;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;13,4;303376;0;No;30380,46;0,113038446;208;9999;3;No
4381;No;SMB Small;Unassigned_SE;Södertälje;Stockholm;Dustin Sweden;1,8;39708;0,490908;No;227299;0,139275096;154;676;28;Yes
4382;No;SMB Small;Unassigned_SE;Boden;Norrbotten;Dustin Sweden;1,3;0;0,069648;No;6662;0,079599219;606;9999;2;No
4383;No;SMB Small;Unassigned_DK;Morsø;Nordjylland;Dustin Denmark;1,8;45594;0,033689;No;23444,36;0,10602678;21;9999;9;No
4384;Yes;SMB Large;SMB SE Pool;Hylte;Halland;Dustin Sweden;137;1607010;0,317208;No;236811,91;0,131421937;312;539;47;Yes
4385;No;SMB Mid;Unassigned_DK;Silkeborg;Midtjylland;Dustin Denmark;68;522240;0,223255;No;104097,12;0,151407839;32;9999;20;No
4386;No;SMB Small;Unassigned_SE;Upplands Väsby;Stockholm;Dustin Sweden;3,6;60822;0,190445;No;79104;0,105338668;71;447;14;Yes
4387;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;39708;0,348559;No;17745,3;0,16454216;127;9999;9;No
4388;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;13,4;295604;0,383938;No;20422,56;0,313127248;251;9999;7;No
4389;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;1,8;22104;0,073901;No;19313,49;0,088657721;239;9999;6;No
4390;No;SMB Mid;Mid HRHF;Malmö;Skåne;Dustin Sweden;30;661800;0,108743;No;305855,33;0,107473164;13;9999;29;No
4391;No;SMB Small;Unassigned_SE;Solna;Stockholm;Dustin Sweden;1,8;15966;0;No;2776,37;0,137618545;89;9999;3;No
4392;No;SMB Small;Unassigned_DK;Lyngby-Taarbæk;Hovedstaden;Dustin Denmark;6,5;0;1;No;1606,36;0,34939864;601;9999;1;No
4393;No;SMB Mid;Unassigned_DK;Horsens;Midtjylland;Dustin Denmark;30;0;1;No;1022,72;0,03111311;600;9999;1;No
4394;No;SMB Small;Unassigned_SE;Vetlanda;Jönköping;Dustin Sweden;1,8;0;0;No;1529;0,123073905;627;9999;1;No
4395;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,3;28678;0;No;17676,2;0,070905511;170;170;1;Yes
4396;No;SMB Small;Johan Jernberg;Trondheim;Sør-Trøndelag;Dustin Norway;13,4;91790;0;No;1846,64;0,093364164;69;9999;1;No
4397;No;SMB Small;Unassigned_SE;Norrtälje;Stockholm;Dustin Sweden;1,3;28678;0,835293;No;5304,72;0,165874919;95;9999;3;No
4398;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;1,8;1492,38;0,322549;No;7372,48;0,064309432;265;9999;3;No
4399;No;SMB Small;Unassigned_NO;Bodø;Nordland;Dustin Norway;13,4;0;0,129023;No;14417,58;0,088532888;440;9999;1;No
4400;No;SMB Small;Unassigned_SE;Burlöv;Skåne;Dustin Sweden;1,3;0;0,503149;No;7143;0,116754865;504;9999;2;No
4401;No;SMB Small;Unassigned_SE;Danderyd;Stockholm;Dustin Sweden;1,3;0;0;No;1099;0,079162875;645;645;1;Yes
4402;No;SMB Small;Unassigned_NO;Oppegård;Akershus;Dustin Norway;1,8;20574;0,432306;No;12704,83;0,194578755;28;9999;5;No
4403;No;SMB Mid;Mid - Segmentet;Piteå;Norrbotten;Dustin Sweden;68;705160;0;No;22778;0,245205022;7;9999;5;No
4404;No;SMB Small;Unassigned_SE;Huddinge;Stockholm;Dustin Sweden;6,5;58435;0,687878;No;10246;0,058301776;244;9999;2;No
4405;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;10,1;111706;0,46948;No;20583,6;0,184197128;4;9999;14;No
4406;No;SMB Small;Unassigned_SE;Upplands-Bro;Stockholm;Dustin Sweden;1,3;28678;0;No;5503,65;0,056418922;147;9999;4;No
4407;No;SMB Small;Unassigned_SE;Klippan;Skåne;Dustin Sweden;1,8;15102;0,383577;No;2594;0,186869699;53;9999;1;No
4408;No;SMB Small;Unassigned_DK;Syddjurs;Midtjylland;Dustin Denmark;-1;0;1;No;2494,72;0,313943048;287;9999;1;No
4409;No;SMB Small;Unassigned_SE;Eslöv;Skåne;Dustin Sweden;1,8;0;0,134433;No;6122;0,075769356;645;9999;1;No
4410;No;SMB Mid;Unassigned_DK;Allerød;Hovedstaden;Dustin Denmark;36,5;350035;0;No;46802,54;0,114585448;307;307;5;Yes
4411;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;6,5;61230;0,151738;No;46066,02;0,089964577;355;972;4;Yes
4412;No;SMB Small;Unassigned_DK;Vejle;Syddanmark;Dustin Denmark;13,4;0;0;No;620,21;0,168894407;494;9999;1;No
4413;No;SMB Mid;Unassigned_NO;Oslo;Oslo;Dustin Norway;30;205500;0,121581;No;5268,89;0,145345604;56;9999;2;No
