OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
191;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0;No;6834;0,167822651;652;9999;2;No
192;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;13,4;339422;0,413468;No;18094,3;0,229127957;53;9999;8;No
193;No;SMB Small;Unassigned_DK;Høje-Taastrup;Hovedstaden;Dustin Denmark;6,5;49920;0;No;6685,67;0,111821254;204;9999;1;No
194;No;SMB Small;Unassigned_SE;Vetlanda;Jönköping;Dustin Sweden;1,3;11531;0,078812;No;10138;0,092703689;46;9999;2;No
195;No;SMB Small;Unassigned_NO;Bærum;Akershus;Dustin Norway;1,8;13374;1;No;1155,99;0,254448568;250;9999;1;No
196;Yes;SMB Small;Unassigned_SE;Vellinge;Skåne;Dustin Sweden;1,8;15102;0,026655;No;30777,54;0,063914465;259;743;10;Yes
197;No;SMB Small;Unassigned_DK;Furesø;Hovedstaden;Dustin Denmark;1,8;45594;1;No;387,87;0,103771882;336;9999;1;No
198;No;SMB Small;Unassigned_SE;Norrköping;Östergötland;Dustin Sweden;6,5;56810;0,094631;No;9616,2;0,227963229;47;357;3;Yes
199;No;SMB Small;Unassigned_SE;Mölndal;Västra Götaland;Dustin Sweden;13,4;112426;0,188767;No;11093;0,147039575;11;9999;2;No
200;No;SMB Small;Unassigned_DK;Not Defined;Not Defined;Dustin Denmark;1;0;0,106204;No;2472,58;0,095471127;11;9999;1;No
201;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,3;11687;0,220978;No;38677,96;0,130870915;25;25;18;Yes
202;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;13,4;0;0;No;7247;0,069737823;470;9999;3;No
203;No;SMB Small;Unassigned_SE;Halmstad;Halland;Dustin Sweden;6,5;0;0;No;18540,01;0,046531259;697;725;2;Yes
204;No;Corporate;Corporate SE Online;Stockholm;Stockholm;Dustin Sweden;2,6;18366,07;0,247645;No;171907,02;0,142157487;85;9999;62;No
205;No;SMB Small;Unassigned_NO;Not Defined;Not Defined;Dustin Norway;1;0;0,491513;No;1531,78;0,281156563;5;9999;1;No
206;No;SMB Small;Unassigned_SE;Strängnäs;Södermanland;Dustin Sweden;6,5;70785;0,666952;No;1168;0,297457192;239;9999;1;No
207;No;SMB Small;Unassigned_DK;Brøndby;Hovedstaden;Dustin Denmark;13,4;128506;0,070012;No;96870,35;0,217148075;29;9999;17;No
208;Yes;SMB Large;Torben Nielsen;København;Hovedstaden;Dustin Denmark;30;384300;0,087286;No;1158009,99;0,100768993;1;40;188;Yes
209;No;SMB Mid;Mid HRHF;Trelleborg;Skåne;Dustin Sweden;30;251700;0,131213;No;44568,7;0,13369405;155;9999;15;No
210;No;SMB Small;Unassigned_SE;Landskrona;Skåne;Dustin Sweden;1,8;0;0,309501;No;5357;0,123686765;554;9999;2;No
211;No;SMB Small;Unassigned_SE;Varberg;Halland;Dustin Sweden;1,3;0;0,713944;No;2094;0,33465616;392;9999;2;No
212;No;SMB Mid;Mid LRLF;Österåker;Stockholm;Dustin Sweden;30;266100;1;No;13046,4;0,230372363;260;9999;2;No
213;No;SMB Small;Unassigned_SE;Mora;Dalarna;Dustin Sweden;1,8;0;1;No;900;0,484;636;9999;1;No
214;No;SMB Small;Unassigned_SE;Haninge;Stockholm;Dustin Sweden;1,3;5938,4;0;No;3091;0,042646393;139;9999;1;No
215;No;SMB Small;Unassigned_SE;Kinda;Östergötland;Dustin Sweden;1,3;13598;0,327633;No;5262,01;0,095796093;312;9999;1;No
216;No;SMB Mid;Unassigned_NO;Steinkjer;Nord-Trøndelag;Dustin Norway;30;168000;0,174056;No;143927,79;0,094464106;277;9999;10;No
217;No;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;0;No;2479;0,110294474;19;9999;1;No
218;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;13,4;295604;0,071086;No;138085,56;0,121797964;236;417;21;Yes
219;Yes;Public;Lars Erik Kristiansen;Stavanger;Rogaland;Dustin Norway;68;179656;0,090663;No;370760,24;0,087318991;39;155;43;Yes
220;No;SMB Small;Unassigned_SE;Norrköping;Östergötland;Dustin Sweden;13,4;140164;0;No;13040;0,152992331;284;284;2;Yes
221;No;SMB Small;Unassigned_SE;Simrishamn;Skåne;Dustin Sweden;1,3;14157;0,235899;No;56803,85;0,105327896;321;669;15;No
222;No;SMB Small;Not Defined;Rantasalmi;Etelä-Savo;Dustin Finland;1,8;4928,4;0;No;2027,26;0,171226187;244;9999;1;No
223;No;SMB Small;Unassigned_DK;Sønderborg;Syddanmark;Dustin Denmark;36,5;280320;0,261718;No;83201,96;0,098578928;6;9999;19;No
224;No;SMB Small;Unassigned_DK;Køge;Sjælland;Dustin Denmark;1,8;45594;0,323186;No;5095,33;0,126753321;309;9999;3;No
225;No;SMB Small;Unassigned_SE;Solna;Stockholm;Dustin Sweden;6,5;54535;0,429682;No;49127;0,17841981;28;9999;13;No
226;No;SMB Small;Unassigned_SE;Västerås;Västmanland;Dustin Sweden;1,8;15102;0;No;4942,6;0,054048477;8;9999;5;No
227;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;13,4;112426;0,174384;No;1015;0,133004926;287;9999;1;No
228;No;SMB Small;Unassigned_SE;Täby;Stockholm;Dustin Sweden;1,8;0;0,262541;No;30627,53;0,111376595;461;799;5;Yes
229;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;1;No;3095;0,138849758;725;9999;1;No
230;No;SMB Small;Unassigned_DK;Dragør;Hovedstaden;Dustin Denmark;-1;12467;0;No;925,64;0,283565965;344;9999;1;No
231;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,3;0;0,343493;No;6693;0,089988047;701;9999;2;No
232;No;SMB Small;Unassigned_NO;Asker;Akershus;Dustin Norway;1,3;14859;0,255108;No;38332,29;0,141974821;68;9999;10;No
233;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0,491291;No;4555,34;0,139320007;18;9999;2;No
234;No;SMB Small;Unassigned_SE;Bollnäs;Gävleborg;Dustin Sweden;1,8;0;0,182411;No;9523,62;0,066704677;383;9999;1;No
235;No;SMB Small;Unassigned_DK;Esbjerg;Syddanmark;Dustin Denmark;13,4;181436;0,481091;No;64499,32;0,14381857;46;9999;13;No
236;Yes;Public;Dobbelt oprettelse;Silkeborg;Midtjylland;Dustin Denmark;7816,7;80911139,9;0,235891;No;58520,4;0,14839321;217;9999;34;No
237;No;SMB Mid;Mid - Segmentet;Ängelholm;Skåne;Dustin Sweden;6,5;54535;0,64575;No;187146,54;0,137702092;245;245;23;Yes
238;No;SMB Small;Jesper Ahrling;Haugesund;Rogaland;Dustin Norway;13,4;164552;1;No;2263,33;0,340878263;238;9999;1;No
239;No;SMB Mid;Unassigned_DK;Aalborg;Nordjylland;Dustin Denmark;81,4;2061862;0,563791;No;9698,88;0,21624868;200;9999;6;No
240;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,3;10907;0;No;3439;0,092800233;57;9999;1;No
241;Yes;Corporate;Roar Meland;Molde;Møre og Romsdal;Dustin Norway;30;0;1;No;2415,53;0,179587917;482;9999;3;No
242;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;1,8;23058;0,131167;No;141600,19;0,125397996;5;9999;14;No
243;No;Corporate;Corporate SE Online;Stenungsund;Västra Götaland;Dustin Sweden;6,5;0;0,044866;No;17095;0,07660778;635;9999;6;No
244;No;SMB Small;Unassigned_SE;Klippan;Skåne;Dustin Sweden;1,8;9970,2;1;No;185;0,551351351;25;9999;1;No
245;No;SMB Small;Unassigned_DK;Aalborg;Nordjylland;Dustin Denmark;1,3;11674;0,3932;No;5434,96;0,13419602;258;9999;3;No
246;No;SMB Small;Unassigned_SE;Halmstad;Halland;Dustin Sweden;13,4;89512;0,346417;No;4403,42;0,113545835;288;9999;2;No
247;Yes;Corporate;Jan Tufvander;Solna;Stockholm;Dustin Sweden;1214,7;10977153;0,286355;No;24508;0,10760364;4;9999;40;No
248;No;SMB Small;Unassigned_SE;Kungsbacka;Halland;Dustin Sweden;1,3;7200,7;1;No;3201;0,320834114;41;9999;1;No
249;Yes;SMB Large;Andreas Møller Rasmussen;København;Hovedstaden;Dustin Denmark;3,6;43704;0,259854;No;25234,91;0,106116487;89;9999;4;No
250;No;SMB Small;Unassigned_SE;Halmstad;Halland;Dustin Sweden;1,3;0;0,056999;No;15772;0,061396145;708;846;2;Yes
251;No;SMB Small;Unassigned_SE;Vallentuna;Stockholm;Dustin Sweden;1,8;0;0;No;4711;0,247077054;515;9999;2;No
252;No;SMB Small;Unassigned_SE;Borås;Västra Götaland;Dustin Sweden;-1;0;0,2294;No;221268;0,127189743;684;708;15;Yes
253;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;6,5;0;1;No;1138,28;0,254612222;399;9999;1;No
254;Yes;SMB Mid;Mid - Segmentet;Valdemarsvik;Östergötland;Dustin Sweden;137;1607010;0,160406;No;350234,8;0,108675009;6;9999;67;No
255;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;13,4;0;0;No;1062,35;0,116618817;453;9999;1;No
256;No;SMB Small;Unassigned_SE;Värnamo;Jönköping;Dustin Sweden;6,5;54535;0,031605;No;11644,02;0,091209909;202;9999;2;No
257;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;13,4;339422;0;No;1536,51;0,140688964;201;9999;1;No
258;No;SMB Mid;Mid - Segmentet;Solna;Stockholm;Dustin Sweden;98;822220;0,23523;No;472199;0,11844197;4;231;68;Yes
259;No;SMB Mid;Unassigned_DK;Hillerød;Hovedstaden;Dustin Denmark;30;0;0,215607;No;39969,49;0,139447614;446;9999;12;No
260;No;SMB Small;Unassigned_SE;Västerås;Västmanland;Dustin Sweden;13,4;0;0,05252;No;7597;0,076673687;712;712;1;Yes
261;No;SMB Small;Unassigned_DK;Rødovre;Hovedstaden;Dustin Denmark;-1;0;0,566606;No;36030,14;0,091982712;181;9999;1;No
262;No;SMB Mid;Unassigned_NO;Ski;Akershus;Dustin Norway;104,7;792579;0,143828;No;70474,1;0,161683086;60;9999;11;No
263;No;SMB Small;Unassigned_SE;Karlstad;Värmland;Dustin Sweden;1,8;19602;0,259426;No;2694,4;0,161041419;28;9999;2;No
264;No;SMB Small;Unassigned_SE;Lidköping;Västra Götaland;Dustin Sweden;1,8;15102;0,19548;No;100249,33;0,103136949;6;9999;13;No
265;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;1,8;39708;0,02262;No;32006,2;0,064370341;42;9999;2;No
266;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,3;16653;1;No;1560,59;0,189703894;209;9999;3;No
267;No;SMB Mid;Unassigned_DK;København;Hovedstaden;Dustin Denmark;30;269400;0,169676;No;66522,16;0,118553877;188;9999;9;No
268;No;SMB Small;Unassigned_SE;Trelleborg;Skåne;Dustin Sweden;6,5;43420;0,298976;No;21102;0,189840299;239;9999;3;No
269;Yes;SMB Mid;Unassigned_DK;Albertslund;Hovedstaden;Dustin Denmark;94,8;1283592;0,425534;No;507092,68;0,190278215;1;9999;145;No
270;Yes;SMB Mid;Mid LRLF;Ovanåker;Gävleborg;Dustin Sweden;30;0;0,166023;No;27224,04;0,091901496;445;9999;5;No
271;No;SMB Mid;Mid HRLF;Göteborg;Västra Götaland;Dustin Sweden;1,3;0;0;No;62823;0,072206835;531;9999;3;No
272;No;SMB Mid;Mid - Segmentet;Vänersborg;Västra Götaland;Dustin Sweden;30;311100;0;No;47404;0,053524597;189;189;2;Yes
273;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;13,4;0;0;No;1422,99;0,042530165;494;9999;1;No
274;No;SMB Small;Unassigned_DK;Faaborg-Midtfyn;Syddanmark;Dustin Denmark;1,8;45594;0,550191;No;55581,03;0,076401427;331;9999;7;No
275;No;SMB Small;Unassigned_SE;Falköping;Västra Götaland;Dustin Sweden;1,3;8684;0,026901;No;9256;0,066799914;35;9999;2;No
276;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;6,5;58435;0;No;3867;0,06930437;350;9999;1;No
277;No;SMB Small;Unassigned_SE;Halmstad;Halland;Dustin Sweden;6,5;0;1;No;3780;0,25221164;543;9999;1;No
278;Yes;SMB Large;SMB SE Pool;Örnsköldsvik;Västernorrland;Dustin Sweden;307;3601110;0,122409;No;1999923,88;0,121356329;5;418;159;Yes
279;No;SMB Small;Not Defined;Lempäälä;Pirkanmaa;Dustin Finland;1,8;4928,4;0;No;5122,07;0,054966059;315;9999;2;No
280;No;SMB Small;Unassigned_NO;Bergen;Hordaland;Dustin Norway;-1;12081,33;0;No;20185,44;0,124924203;125;9999;1;No
281;No;SMB Small;Unassigned_SE;Åtvidaberg;Östergötland;Dustin Sweden;1,3;0;0,025578;No;6607;0,071675496;692;9999;2;No
282;No;SMB Small;Unassigned_SE;Arvika;Värmland;Dustin Sweden;-1;0;0,069316;No;243433,6;0,15793966;256;9999;21;No
283;No;SMB Mid;Unassigned_DK;Frederiksberg;Hovedstaden;Dustin Denmark;30;0;1;No;1487,03;0,262086172;726;9999;1;No
284;No;SMB Small;Unassigned_SE;Nacka;Stockholm;Dustin Sweden;1,8;0;0;No;8477,58;0,097487726;412;412;1;Yes
285;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0;No;18392;0,212357003;288;9999;3;No
286;No;SMB Small;Unassigned_SE;Lidköping;Västra Götaland;Dustin Sweden;1,8;0;0;No;1999;0,027143572;709;9999;1;No
287;No;SMB Small;Unassigned_DK;Rødovre;Hovedstaden;Dustin Denmark;1,8;17262;0;No;24112,24;0,067948892;173;9999;1;No
288;Yes;SMB Large;Ole Petter Eriksen;Kristiansand;Vest-Agder;Dustin Norway;6,5;0;0,169681;No;15027,88;0,124035459;664;9999;2;No
289;No;SMB Small;Unassigned_SE;Sollentuna;Stockholm;Dustin Sweden;1,8;19602;0,00669;No;17188,2;0,071539195;106;9999;2;No
290;No;SMB Small;Unassigned_SE;Huddinge;Stockholm;Dustin Sweden;1,3;0;0;No;4368;0,141350733;481;9999;1;No
291;No;SMB Small;Unassigned_SE;Täby;Stockholm;Dustin Sweden;13,4;0;0,539409;No;5925;0,094374684;663;9999;1;No
292;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;40752;0,050079;No;32129;0,102938778;278;9999;13;No
293;No;SMB Small;Unassigned_SE;Härjedalen;Jämtland;Dustin Sweden;1,8;12024;0,673708;No;26925,9;0,190046015;83;9999;10;No
294;No;SMB Small;Unassigned_SE;Nykvarn;Stockholm;Dustin Sweden;1,8;0;0,07531;No;14593,01;0,086002134;386;9999;3;No
295;No;SMB Small;Unassigned_SE;Kramfors;Västernorrland;Dustin Sweden;1,3;28678;0,012405;No;16848;0,031140788;287;9999;1;No
296;No;SMB Mid;Unassigned_NO;Skedsmo;Akershus;Dustin Norway;13,4;75040;0,623153;No;152974,89;0,340838813;28;9999;16;No
297;No;SMB Small;Unassigned_SE;Huddinge;Stockholm;Dustin Sweden;1,3;14157;0;No;1139;0,09881475;147;9999;1;No
298;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;-1;0;0,041839;No;28825,01;0,086789215;718;9999;8;No
299;No;SMB Small;Unassigned_SE;Borås;Västra Götaland;Dustin Sweden;-1;0;0;No;14013,04;0,052241341;190;9999;2;No
300;No;SMB Small;Unassigned_NO;Kristiansand;Vest-Agder;Dustin Norway;13,4;99562;0,899453;No;30065,3;0,162664267;349;550;12;Yes
301;No;SMB Mid;Mid - Segmentet;Töreboda;Västra Götaland;Dustin Sweden;68;797640;0,221097;No;290828,17;0,129261344;12;9999;44;No
302;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;14157;0,331132;No;8812,19;0,156522953;97;9999;4;No
303;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;13,4;112426;0,258972;No;6982,2;0,165327547;63;9999;6;No
304;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;-1;0;0,034453;No;55002;0,142027017;662;662;4;Yes
305;No;SMB Small;Unassigned_SE;Solna;Stockholm;Dustin Sweden;1,3;0;0;No;1118,4;0,076323319;670;9999;1;No
306;No;SMB Small;Unassigned_SE;Enköping;Uppsala;Dustin Sweden;13,4;145926;0,142068;No;113762,04;0,125170312;1;9999;15;No
307;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19908;0;No;6229,64;0,025415594;179;9999;2;No
308;No;SMB Small;Unassigned_SE;Sundbyberg;Stockholm;Dustin Sweden;13,4;89512;0,127007;No;29585,98;0,083241792;138;9999;8;No
309;No;SMB Small;Unassigned_SE;Partille;Västra Götaland;Dustin Sweden;6,5;26136,5;0,045043;No;6638;0,058983127;328;9999;1;No
310;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,8;12024;0,168002;No;3244;0,187845253;218;9999;6;No
311;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;13,4;53881,4;0,32036;No;48613,96;0,139479894;139;9999;19;No
312;No;SMB Small;Unassigned_DK;Vallensbæk;Hovedstaden;Dustin Denmark;-1;12467;0;No;147,64;0,087781089;239;9999;1;No
313;No;SMB Small;Unassigned_SE;Åsele;Västerbotten;Dustin Sweden;13,4;0;0,116977;No;10190,01;0,06167413;599;1014;2;Yes
314;No;SMB Small;Unassigned_SE;Strömstad;Västra Götaland;Dustin Sweden;1,3;7200,7;0;No;1675;0,200829851;50;9999;1;No
315;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;1;No;3984;0,063253012;685;9999;4;No
316;No;SMB Small;Unassigned_SE;Arjeplog;Norrbotten;Dustin Sweden;13,4;0;0;No;3678;0,239336596;543;9999;1;No
317;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;30;326700;0,442309;No;9213;0,272260936;67;9999;4;No
318;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;40752;1;No;4819;0,274370201;161;9999;2;No
319;No;SMB Small;Unassigned_DK;Kolding;Syddanmark;Dustin Denmark;1,3;32929;0;No;12274,45;0,138431457;39;9999;3;No
320;No;SMB Small;Unassigned_SE;Huddinge;Stockholm;Dustin Sweden;1,8;19602;0,245636;No;13809;0,121466435;295;9999;3;No
321;Yes;Corporate;Jørgen Okstad Olsen;Trondheim;Sør-Trøndelag;Dustin Norway;30;368400;0,353379;No;83987,11;0,165035563;21;9999;13;No
322;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,8;19602;0,178328;No;159604,57;0,097860544;22;137;22;Yes
323;No;SMB Small;Unassigned_NO;Forsand;Rogaland;Dustin Norway;6,5;44525;0,115894;No;47026;0,107174542;47;9999;7;No
324;No;SMB Small;Unassigned_DK;Ringsted;Sjælland;Dustin Denmark;6,5;62335;0,161793;No;12594,85;0,044466588;295;9999;1;No
325;Yes;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;30;205500;0;No;1871,52;0,276609387;32;9999;2;No
326;No;SMB Small;Unassigned_SE;Håbo;Uppsala;Dustin Sweden;1,8;0;0;No;2699;0,093012227;557;9999;1;No
327;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;1,3;10907;0;No;7459;0,06099209;77;9999;1;No
328;No;SMB Small;Unassigned_NO;Bergen;Hordaland;Dustin Norway;1,3;0;0;No;733,6;0,049645583;665;9999;1;No
329;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;30;661800;0,241522;No;512752,79;0,142307875;12;21;117;Yes
330;Yes;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;0;0,42723;No;5434,51;0,160056748;379;9999;3;No
331;Yes;Corporate;Rickard Wikholm;Oslo;Oslo;Dustin Sweden;1500;8400000;1;No;27645,28;0,371094813;124;9999;2;No
332;No;SMB Mid;Unassigned_NO;Ringerike;Buskerud;Dustin Norway;30;342900;0,100627;No;17906,52;0,082868698;146;9999;2;No
333;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;0;0,130013;No;172943;0,100172774;396;862;11;Yes
334;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;39708;0;No;5359;0,175797723;285;9999;1;No
335;No;SMB Small;Unassigned_DK;Silkeborg;Midtjylland;Dustin Denmark;1,8;19656;0,911016;No;761,49;0,350510184;182;9999;2;No
336;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,8;19602;0;No;21357;0,113070656;286;9999;1;No
337;No;SMB Small;Unassigned_DK;Høje-Taastrup;Hovedstaden;Dustin Denmark;-1;11674;0,666159;No;9101,72;0,097404666;216;9999;1;No
338;No;Corporate;Daniel Källberg;Askersund;Örebro;Dustin Sweden;43;360770;0,002574;No;151468;0,289456255;67;9999;2;No
339;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;13,4;138958;0,122541;No;213113,59;0,102361562;11;9999;46;No
340;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;13,4;36689,2;0,280931;No;4459,8;0,104381362;154;9999;2;No
341;No;SMB Small;Unassigned_DK;Kalundborg;Sjælland;Dustin Denmark;6,5;62335;0,305862;No;15709,1;0,174001693;172;9999;2;No
342;No;SMB Mid;Unassigned_NO;Bodø;Nordland;Dustin Norway;31,8;708504;0,361102;No;137861,37;0,196119551;43;208;23;Yes
343;No;SMB Small;Unassigned_DK;Mariagerfjord;Nordjylland;Dustin Denmark;68;920720;0,097037;No;191019,89;0,117437509;12;330;12;Yes
344;No;SMB Small;Unassigned_SE;Södertälje;Stockholm;Dustin Sweden;1,3;8684;1;No;1033;0,113852856;36;9999;1;No
345;No;SMB Small;Unassigned_DK;Aalborg;Nordjylland;Dustin Denmark;-1;0;0;No;613,22;0,155441766;403;9999;1;No
346;No;SMB Small;Unassigned_DK;Helsingør;Hovedstaden;Dustin Denmark;1,8;13824;0;No;13814,55;0,04399709;239;9999;1;No
347;No;SMB Small;Nils Bülow;Finspång;Östergötland;Dustin Sweden;30;351900;0,128967;No;13414,2;0,104846357;28;9999;6;No
348;No;SMB Small;Unassigned_SE;Helsingborg;Skåne;Dustin Sweden;13,4;112426;1;No;4075;0,260358282;85;9999;5;No
349;No;SMB Small;Unassigned_DK;Køge;Sjælland;Dustin Denmark;1,8;21456;0,395834;No;331,78;0,25263729;98;9999;1;No
350;Yes;SMB Mid;Mid - Segmentet;Ludvika;Dalarna;Dustin Sweden;30;200400;0,215753;No;90489,12;0,105104238;27;9999;19;No
351;No;SMB Small;Unassigned_SE;Alingsås;Västra Götaland;Dustin Sweden;1,8;19602;0;No;3314,4;0,101080135;274;9999;1;No
352;No;SMB Small;Unassigned_SE;Täby;Stockholm;Dustin Sweden;1,3;14157;0;No;20405;0,119722617;55;9999;1;No
353;No;SMB Small;Unassigned_NO;Alta;Finnmark;Dustin Norway;1,3;0;0;No;6387,66;0,146635857;516;516;1;Yes
354;No;SMB Small;Unassigned_NO;Oppegård;Akershus;Dustin Norway;1,3;13793;0;No;12128,15;0,078375515;258;258;5;Yes
355;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;10907;0;No;8159;0,046855007;7;9999;3;No
356;No;SMB Small;Unassigned_SE;Nykvarn;Stockholm;Dustin Sweden;1,8;18192,12;0;No;7188;0,061178353;354;9999;1;No
357;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;6,5;0;0,046483;No;4066;0,035329562;460;9999;5;No
358;No;SMB Small;Unassigned_DK;Vejle;Syddanmark;Dustin Denmark;1,8;23058;0;No;10773,82;0,108885242;253;9999;2;No
359;No;SMB Small;Unassigned_SE;Haninge;Stockholm;Dustin Sweden;1,8;12024;0;No;6757;0,082943614;235;9999;1;No
360;No;SMB Small;Unassigned_NO;Oppegård;Akershus;Dustin Norway;1,8;17136;0;No;6278,9;0,145716606;231;9999;1;No
361;No;SMB Small;Unassigned_NO;Kristiansand;Vest-Agder;Dustin Norway;1,8;0;1;No;287,74;0,20125808;698;9999;1;No
362;No;Corporate;Corporate SE Online;Stockholm;Stockholm;Dustin Sweden;19,9;132932;0,192601;No;671587,47;0,127280368;11;9999;143;No
363;No;SMB Small;Unassigned_SE;Mölndal;Västra Götaland;Dustin Sweden;1,3;0;0;No;1999;0,054622311;443;9999;1;No
364;No;SMB Small;Unassigned_SE;Ekerö;Stockholm;Dustin Sweden;1,8;19602;0,147058;No;1734;0,151072664;168;9999;1;No
365;No;SMB Small;Unassigned_SE;Tranås;Jönköping;Dustin Sweden;30;282600;0,121267;No;122679,16;0,076302446;111;9999;8;No
366;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;39708;0,168711;No;6194;0,132817242;364;9999;1;No
367;No;SMB Small;Unassigned_SE;Skellefteå;Västerbotten;Dustin Sweden;1,8;19602;0,249957;No;5865;0,111174766;159;9999;1;No
368;No;SMB Small;Unassigned_SE;Sunne;Värmland;Dustin Sweden;13,4;89512;0,012372;No;19317,6;0,079152172;109;109;2;Yes
369;No;SMB Small;Unassigned_SE;Svedala;Skåne;Dustin Sweden;1,8;16182;0,689289;No;4435;0,207140924;61;614;4;Yes
370;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0,019469;No;20289,01;0,131681142;579;9999;2;No
371;No;SMB Small;Unassigned_SE;Mölndal;Västra Götaland;Dustin Sweden;1,3;0;1;No;1099;0,22343949;455;9999;1;No
372;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,8;19602;0,059986;No;29973,6;0,068456575;340;9999;3;No
373;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;13,4;120466;0,016615;No;124169,15;0,06803582;35;9999;10;No
374;No;SMB Small;Unassigned_SE;Eslöv;Skåne;Dustin Sweden;1,8;18666;0,29025;No;38425,4;0,170837779;186;9999;9;No
375;No;SMB Small;Unassigned_DK;Sønderborg;Syddanmark;Dustin Denmark;13,4;0;0;No;1302,3;0,107018352;554;9999;1;No
376;No;SMB Mid;Mid - Segmentet;Göteborg;Västra Götaland;Dustin Sweden;30;251700;0,205109;No;237720,22;0,124627598;6;9999;34;No
377;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;70785;0,422235;No;54741,96;0,217796732;353;9999;6;No
378;No;SMB Small;Unassigned_SE;Helsingborg;Skåne;Dustin Sweden;1,8;0;0;No;185;0,406810811;701;9999;1;No
